name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
Haveli,No,Yes,3.0/5,6262,Richmond Town,Food Court,North Indian,400,Dine-out,Whitefield
Donne Biryani,Yes,No,2.7/5,2335,Koramangala,Bakery,"South Indian, Chinese",,Buffet,Whitefield
Starbucks,Yes,No,3.6/5,372,JP Nagar,Desserts,"Ice Cream, Desserts",2500,Buffet,Marathahalli
Punjabi Tadka,No,No,4.6/5,2390,Sarjapur Road,Casual Dining,"Cafe, Beverages",400,Dine-out,Marathahalli
Punjab Grill,Yes,Yes,3.9/5,6904,Malleshwaram,Desserts,Biryani,500,Delivery,Electronic City
Chai Point,Yes,Yes,2.8/5,1252,Basavanagudi,Food Court,"Desserts, Bakery",900,Dine-out,HSR Layout
Chinese Hut,Yes,Yes,4.3/5,3747,Vijayanagar,"Pub, Bar",Fast Food,1000,Dine-out,Jayanagar
Freshmenu,Yes,,-,1367,Domlur,Bakery,"Cafe, Beverages",400,Drinks & nightlife,Banashankari
The Burger Lab,Yes,No,4.7/5,6116,Sarjapur Road,"Casual Dining, Cafe",South Indian,350,Cafes,Indiranagar
New Taj Mahal Cafe,No,No,3.3/5,7406,Bellandur,Bar,"Continental, North Indian","1,500",Dine-out,Indiranagar
Natural Ice Cream,No,No,NEW,2056,MG Road,Quick Bites,"Cafe, Beverages",250,Desserts,HSR Layout
Restaurant Barbeque Nation,Yes,Yes,,2382,Indiranagar,Mess,,150,Delivery,HSR Layout
Natural Ice Cream,Yes,Yes,3.6/5,3040,Rajajinagar,Desserts,"Cafe, Beverages",350,Delivery,Koramangala
Donne Biryani,Yes,Yes,2.6/5,6678,Basavanagudi,"Pub, Bar",Biryani,500,Lunch,Electronic City
Vasudev Adiga,No,,3.2/5,5776,Sarjapur Road,"Pub, Bar","Biryani, North Indian",600,Delivery,HSR Layout
Belgian Waffle,No,Yes,NEW,6096,Jayanagar,,,300,Cafes,JP Nagar
The Tasty Bites,No,No,4.1/5,821,Majestic,Fine Dining,"Pizza, Fast Food",500,Buffet,Indiranagar
Biryani Meghana Foods,Yes,Yes,4.0/5,4133,Church Street  ,Delivery,Street Food,300,Desserts,Indiranagar
The Faasos,No,Yes,4.0/5,6446,Jayanagar,Fine Dining,"Continental, North Indian",250,Cafes,Whitefield
Wrap It Up,Yes,No,4.1/5,352,JP Nagar,Fine Dining,Biryani,800,Cafes,Whitefield
Beijing Bites,Yes,No,3.7/5,5207,Yelahanka,Food Court,"Mughlai, North Indian",1200,Desserts,Marathahalli
Box8,Yes,Yes,2.8/5,6971,MG Road  ,Delivery,"Mughlai, North Indian",2500,Drinks & nightlife,Marathahalli
Dragon Palace,Yes,No,3.3/5,5644,Hebbal,"Casual Dining, Cafe",Biryani,400,Dine-out,Electronic City
Eat Street,No,Yes,3.9/5,2493,MG Road,Fine Dining,"Cafe, Beverages",600,Buffet,BTM Layout
Pizza Hut,No,No,3.8/5,6059,BTM Layout,Casual Dining,North Indian,350,Dine-out,Indiranagar
Natural Ice Cream,No,Yes,3.8/5,984,Electronic City,Delivery,Street Food,600,Lunch,Whitefield
Corner House,No,No,-,7333,Rajajinagar,Food Court,"South Indian, Chinese",1000,Drinks & nightlife,Koramangala
India Gate,Yes,,3.8/5,583,Rajajinagar,"Casual Dining, Cafe","Ice Cream, Desserts",700,Lunch,Banashankari
Shivaji Military Hotel,Yes,No,2.9/5,5797,Domlur,Bar,"Pizza, Fast Food",200,Delivery,Indiranagar
Palace Tasty Bites,No,Yes,4.0/5,1712,Banashankari,,"North Indian, Chinese",250,Dine-out,HSR Layout
Chinese Hut,No,No,4.6/5,3233,BTM Layout,Beverage Shop,South Indian,800,Lunch,BTM Layout
Palace Punjab Grill,Yes,Yes,3.3/5,899,Yelahanka,Bar,"North Indian, Chinese",700,Drinks & nightlife,JP Nagar
Chinese Hut,Yes,No,4.5/5,1014,Electronic City,Fine Dining,"Sandwich, Fast Food",2500,Dine-out,Marathahalli
Dragon Palace,Yes,Yes,2.8/5,5859,Church Street,Desserts,"Ice Cream, Desserts",700,Dine-out,Indiranagar
Empire Restaurant,No,No,4.1/5,7789,Domlur  ,,"Bakery, Cafe",,Lunch,HSR Layout
Restaurant Tasty Bites,Yes,No,-,7312,Electronic City,Quick Bites,Biryani,,Lunch,Marathahalli
Barbeque Nation,No,No,3.1/5,6772,Domlur,Mess,"Italian, Pizza",400,Dine-out,Jayanagar
Freshmenu,Yes,,4.4/5,4312,Banashankari,Mess,Fast Food,450,Buffet,HSR Layout
Spice Garden,No,Yes,3.7/5,6102,Yelahanka,Bar,"Italian, Pizza",2500,Lunch,JP Nagar
Barbeque Nation,No,No,3.1/5,6772,Domlur,Mess,"Italian, Pizza",400,Dine-out,Jayanagar
Biryani Zone,Yes,No,-,7878,Marathahalli,Sweet Shop,Fast Food,700,Desserts,BTM Layout
Spice Garden,No,Yes,4.5/5,3713,Basavanagudi,Cafe,"Seafood, Continental",500,Delivery,HSR Layout
Udupi Palace,Yes,No,NEW,4521,MG Road  ,Bar,"Biryani, North Indian",900,Lunch,Whitefield
Subway,No,,4.7/5,3179,Marathahalli,Sweet Shop,South Indian,400,Dine-out,Whitefield
Palace Punjabi Tadka,Yes,Yes,-,4033,Domlur,Fine Dining,Chinese,700,Lunch,Koramangala
Vidyarthi Bhavan,Yes,Yes,3.5/5,1307,Electronic City,Mess,"Sandwich, Fast Food",1000,Dine-out,Indiranagar
Koshy's,Yes,No,3.5/5,3788,Bellandur,Bar,"North Indian, Chinese",900,Cafes,BTM Layout
Kanti Sweets,No,Yes,3.1/5,571,Hebbal,Bakery,"Ice Cream, Desserts",350,Delivery,Electronic City
Dragon Palace,Yes,No,4.2/5,3432,Marathahalli,,"Mughlai, North Indian","1,500",Drinks & nightlife,BTM Layout
Subway,Yes,No,3.3/5,5233,Bellandur,"Casual Dining, Cafe",Biryani,700,Desserts,Marathahalli
Empire Restaurant,Yes,No,4.4/5,3466,MG Road  ,"Casual Dining, Cafe","Pizza, Fast Food",1200,Lunch,JP Nagar
Biryani Zone,Yes,No,4.6/5,5390,Richmond Town,Bakery,"Italian, Pizza",150,Delivery,Electronic City
Chai Point,No,No,-,6654,Vijayanagar,Mess,"Sandwich, Fast Food",200,Dine-out,BTM Layout
Chinese Hut,Yes,Yes,4.3/5,105,Indiranagar,Sweet Shop,"Bakery, Cafe",450,Cafes,Jayanagar
McDonald's,No,,4.6/5,961,Richmond Town,Mess,"Sandwich, Fast Food",300,Desserts,Whitefield
Biryani Zone,Yes,,3.7/5,2352,Malleshwaram,Mess,"Italian, Pizza",1200,Cafes,Jayanagar
Cafe Coffee Day,Yes,Yes,4.0/5,409,HSR Layout,Cafe,North Indian,150,Cafes,Banashankari
Vasudev Adiga,Yes,No,4.1/5,2844,Vijayanagar  ,Fine Dining,"Bakery, Cafe",600,Drinks & nightlife,Jayanagar
Punjabi Tadka,No,,2.9/5,2734,Malleshwaram,,"Continental, North Indian",1200,Desserts,Whitefield
India Gate,No,Yes,4.6/5,250,BTM Layout,Beverage Shop,,300,Desserts,Electronic City
Punjab Grill,No,No,3.4/5,6834,Richmond Town,Casual Dining,"South Indian, North Indian",300,Cafes,Electronic City
Subway,No,No,3.0/5,1218,Sarjapur Road,Quick Bites,"Desserts, Bakery","1,000",Delivery,Jayanagar
House Udupi Palace,No,No,2.9/5,3828,Jayanagar  ,Fine Dining,Biryani,350,Buffet,Marathahalli
The Burger Lab,No,No,2.7/5,6335,Bellandur,Fine Dining,Fast Food,,Desserts,HSR Layout
Amul,Yes,Yes,2.9/5,3874,Rajajinagar,Beverage Shop,Chinese,300,Buffet,Electronic City
Toit Brewpub,Yes,Yes,3.9/5,824,HSR Layout,Fine Dining,,"2,500",Dine-out,JP Nagar
The Burger Lab,Yes,Yes,4.8/5,7813,Richmond Town,Bakery,"Sandwich, Fast Food",450,Lunch,BTM Layout
Palace Vasudev Adiga,No,Yes,2.9/5,4293,Whitefield,Casual Dining,South Indian,500,Cafes,HSR Layout
Amul,Yes,No,4.2/5,7059,Rajajinagar,Desserts,"Biryani, North Indian",250,Desserts,Marathahalli
Donne Biryani,Yes,Yes,4.7/5,525,Marathahalli,"Pub, Bar",Street Food,2000,Drinks & nightlife,Electronic City
Subway,Yes,No,4.4/5,7526,HSR Layout,Bakery,"Continental, North Indian",150,Dine-out,Koramangala
Truffles,Yes,Yes,4.0/5,4073,Frazer Town,,"Desserts, Bakery",2000,Delivery,HSR Layout
Chai Point,Yes,No,4.7/5,2817,Basavanagudi,Cafe,"Sandwich, Fast Food",800,Lunch,Electronic City
Natural Ice Cream,No,Yes,4.9/5,4933,Yelahanka,Sweet Shop,,400,Desserts,BTM Layout
Satkar,No,No,4.8/5,1,Hebbal,Quick Bites,North Indian,450,Delivery,Marathahalli
Udupi Palace,No,Yes,3.3/5,3957,BTM Layout,,Biryani,500,Drinks & nightlife,BTM Layout
Eat Street,No,No,3.4/5,4167,Domlur  ,"Pub, Bar","Continental, North Indian","1,000",Buffet,Marathahalli
Hotel Natural Ice Cream,Yes,No,,3155,Richmond Town,Casual Dining,"Seafood, Continental",200,Dine-out,Jayanagar
The Burger Lab,Yes,No,4.4/5,4109,HSR Layout,,"Desserts, Bakery",450,Dine-out,Indiranagar
Box8,No,No,4.2/5,285,Vijayanagar,Bakery,"Pizza, Fast Food",700,Lunch,Marathahalli
Faasos,Yes,No,4.3/5,1440,Basavanagudi,Mess,Biryani,150,Delivery,Koramangala
The Donne Biryani,Yes,No,4.7/5,3453,Malleshwaram,Casual Dining,North Indian,400,Drinks & nightlife,Banashankari
Box8,No,,4.5/5,2368,Bellandur,Beverage Shop,"Bakery, Cafe",800,Delivery,Jayanagar
Dhaba Toit Brewpub,No,Yes,4.3/5,7633,Majestic,Sweet Shop,"Seafood, Continental",2500,Lunch,Jayanagar
House Vasudev Adiga,Yes,Yes,-,1274,Banashankari  ,Beverage Shop,"Sandwich, Fast Food",250,Buffet,Indiranagar
Palace Donne Biryani,No,Yes,3.5/5,6454,Marathahalli,"Casual Dining, Cafe","Cafe, Beverages",700,Lunch,JP Nagar
New Taj Mahal Cafe,Yes,Yes,2.7/5,3911,Banashankari,Mess,Chinese,200,Dine-out,JP Nagar
Box8,Yes,Yes,4.7/5,1980,Frazer Town,"Casual Dining, Cafe","Ice Cream, Desserts",600,Delivery,BTM Layout
Rolls Mania,Yes,Yes,3.6/5,728,Banashankari,Sweet Shop,"Cafe, Beverages",1200,Delivery,Banashankari
The Corner House,No,No,3.9/5,2661,Whitefield,"Casual Dining, Cafe","Seafood, Continental",2000,Lunch,HSR Layout
Punjab Grill,Yes,No,3.4/5,1177,BTM Layout,Mess,North Indian,150,Cafes,Marathahalli
House Punjab Grill,No,No,3.5/5,7151,Bellandur,Bakery,"Pizza, Fast Food",250,Cafes,Indiranagar
Corner Chinese Hut,Yes,No,3.6/5,3595,Richmond Town,Desserts,"South Indian, Chinese",1200,Buffet,Electronic City
Natural Ice Cream,No,Yes,3.8/5,984,Electronic City,Delivery,Street Food,600,Lunch,Whitefield
Corner Biryani Zone,No,Yes,3.0/5,4576,Electronic City,Bakery,"South Indian, Chinese",250,Desserts,HSR Layout
Punjabi Tadka,No,,2.7/5,2936,HSR Layout  ,Mess,South Indian,800,Drinks & nightlife,Whitefield
India Gate,No,No,4.0/5,5429,Majestic  ,Food Court,"Mughlai, North Indian",700,Delivery,Koramangala
Kanti Sweets,No,Yes,4.8/5,6895,Banashankari,Beverage Shop,"Pizza, Fast Food",1500,Drinks & nightlife,Banashankari
House Natural Ice Cream,No,No,NEW,1072,Marathahalli,Sweet Shop,South Indian,"1,200",Cafes,JP Nagar
KFC,No,Yes,4.4/5,886,Malleshwaram,Bakery,"Italian, Pizza",450,Lunch,Whitefield
House Spice Garden,Yes,No,3.6/5,4895,JP Nagar,Bakery,North Indian,2000,Drinks & nightlife,BTM Layout
Srinidhi,Yes,Yes,3.7/5,7114,Whitefield,Mess,,450,Delivery,Marathahalli
Rolls Mania,No,Yes,4.6/5,6294,HSR Layout  ,Cafe,"Biryani, North Indian",600,Desserts,HSR Layout
Biryani Zone,Yes,,3.7/5,2352,Malleshwaram,Mess,"Italian, Pizza",1200,Cafes,Jayanagar
Freshmenu,Yes,Yes,2.8/5,2604,Banashankari,"Pub, Bar",Biryani,1000,Desserts,Koramangala
Kitchen Pizza Hut,No,Yes,,1914,BTM Layout,Beverage Shop,"Pizza, Fast Food",150,Drinks & nightlife,Koramangala
Kitchen Kamat Upachar,Yes,No,3.9/5,3873,Koramangala,"Casual Dining, Cafe","Mughlai, North Indian",700,Dine-out,Jayanagar
The Burger Lab,No,No,4.4/5,5450,MG Road  ,"Casual Dining, Cafe","Pizza, Fast Food",1500,Lunch,HSR Layout
Cafe Subway,No,No,2.5/5,5016,Yelahanka,Fine Dining,"Continental, North Indian",450,Desserts,Indiranagar
Hotel Amul,Yes,No,4.2/5,4780,Bellandur,Cafe,"South Indian, North Indian",150,Buffet,Banashankari
Biryani Zone,No,No,2.8/5,5805,Jayanagar,"Casual Dining, Cafe",North Indian,400,Buffet,Whitefield
Shivaji Military Hotel,Yes,No,4.1/5,1247,Indiranagar,Quick Bites,Biryani,1000,Desserts,HSR Layout
Pizza Hut,Yes,Yes,2.7/5,7314,HSR Layout,Quick Bites,"Bakery, Cafe",1000,Lunch,JP Nagar
Cafe Kamat Upachar,No,Yes,4.3/5,6097,Majestic,Bakery,Biryani,,Desserts,Jayanagar
McDonald's,Yes,Yes,3.2/5,3160,JP Nagar,Cafe,"Biryani, North Indian",900,Dine-out,Whitefield
Donne Biryani,No,,3.0/5,3729,Marathahalli,Bar,,300,Buffet,Marathahalli
Kanti Sweets,No,Yes,3.7/5,6430,Sarjapur Road,"Pub, Bar",Biryani,800,Delivery,Marathahalli
The Burger Lab,No,No,4.8/5,4806,MG Road,Desserts,"Seafood, Continental","2,500",Dine-out,Electronic City
Hotel Dragon Palace,No,,3.2/5,89,Frazer Town,Bar,Biryani,"1,000",Delivery,Koramangala
Natural Ice Cream,Yes,Yes,3.3/5,3230,Bellandur,Bakery,"Continental, North Indian",2000,Lunch,Koramangala
Palace Tasty Bites,No,No,3.4/5,892,Jayanagar,"Casual Dining, Cafe",Chinese,450,Drinks & nightlife,Electronic City
Dominos,No,Yes,2.6/5,7123,Electronic City,Bar,"Mughlai, North Indian",500,Dine-out,Marathahalli
The Spice Garden,No,No,NEW,4768,Yelahanka  ,Bakery,North Indian,,Delivery,Indiranagar
Subway,Yes,Yes,4.5/5,3291,Majestic,Desserts,"Mughlai, North Indian",150,Lunch,Jayanagar
Chinese Hut,No,No,3.4/5,3665,Marathahalli,Quick Bites,,200,Drinks & nightlife,Indiranagar
Barbeque Nation,No,No,2.9/5,5704,HSR Layout,"Pub, Bar","Desserts, Bakery",,Delivery,Marathahalli
Punjabi Tadka,No,Yes,NEW,4431,Sarjapur Road,Bakery,"Ice Cream, Desserts",2000,Buffet,Indiranagar
Biryani Satkar,Yes,Yes,,2030,HSR Layout,"Casual Dining, Cafe","Pizza, Fast Food",1500,Buffet,Koramangala
Cafe Tasty Bites,Yes,No,3.9/5,7397,Marathahalli,Bakery,Street Food,500,Desserts,Marathahalli
Spice Garden,No,No,2.6/5,5897,JP Nagar,Delivery,Chinese,200,Lunch,Jayanagar
Dominos,No,No,2.9/5,2475,Indiranagar,Bar,"Cafe, Beverages",1200,Cafes,Whitefield
Kitchen Srinidhi,No,Yes,4.4/5,933,Indiranagar  ,Fine Dining,Chinese,1500,Desserts,Whitefield
Starbucks,Yes,No,NEW,3216,Yelahanka,"Casual Dining, Cafe",Fast Food,1500,Dine-out,Banashankari
Subway,No,No,4.2/5,2169,Bellandur,Desserts,North Indian,,Desserts,Koramangala
Spice Garden,No,Yes,4.6/5,552,BTM Layout,Bakery,"Mughlai, North Indian",450,Drinks & nightlife,Indiranagar
Corner Belgian Waffle,No,No,3.4/5,3342,Sarjapur Road,Bakery,Biryani,1000,Desserts,Whitefield
Udupi Palace,No,Yes,NEW,2665,Banashankari,Bar,"Pizza, Fast Food",200,Drinks & nightlife,Indiranagar
Satkar,Yes,No,,988,Jayanagar,Casual Dining,"South Indian, Chinese",400,Cafes,Whitefield
The Punjab Grill,No,No,2.7/5,3952,Koramangala,Mess,North Indian,250,Cafes,JP Nagar
Starbucks,Yes,No,4.9/5,3719,Basavanagudi,Sweet Shop,"Desserts, Bakery",,Dine-out,Whitefield
Freshmenu,Yes,Yes,2.9/5,6999,Richmond Town,Mess,"Mughlai, North Indian",2000,Delivery,Marathahalli
Shivaji Military Hotel,Yes,No,,2472,Yelahanka,Quick Bites,,800,Drinks & nightlife,HSR Layout
Kamat Upachar,Yes,,4.2/5,3553,Church Street,Sweet Shop,"Biryani, North Indian",2000,Delivery,BTM Layout
Kitchen Faasos,Yes,No,2.9/5,6245,Richmond Town,Desserts,"Seafood, Continental",450,Dine-out,BTM Layout
Cafe Biryani Zone,No,Yes,4.6/5,3673,Whitefield  ,Food Court,Chinese,,Desserts,Indiranagar
House Dominos,Yes,Yes,3.4/5,7005,BTM Layout,Fine Dining,"Desserts, Bakery",350,Lunch,JP Nagar
Restaurant Eat Street,Yes,Yes,3.6/5,1579,Domlur,Quick Bites,"Italian, Pizza",500,Buffet,Banashankari
Kitchen Barbeque Nation,No,,2.7/5,4790,Malleshwaram,Sweet Shop,"South Indian, Chinese",1200,Lunch,JP Nagar
Restaurant Cafe Coffee Day,No,,,3530,Basavanagudi,Sweet Shop,"Cafe, Beverages",900,Cafes,Marathahalli
Donne Biryani,Yes,Yes,2.6/5,1914,Yelahanka  ,Desserts,"Seafood, Continental",,Desserts,Banashankari
Kitchen Kamat Upachar,Yes,Yes,4.3/5,2507,Majestic  ,Desserts,"Bakery, Cafe",450,Cafes,BTM Layout
Vidyarthi Bhavan,No,No,3.3/5,4206,Vijayanagar,Food Court,"Desserts, Bakery",1000,Lunch,BTM Layout
Kitchen Chinese Hut,Yes,No,2.7/5,7833,JP Nagar  ,Sweet Shop,"Desserts, Bakery",200,Drinks & nightlife,BTM Layout
Natural Ice Cream,Yes,Yes,2.5/5,94,Jayanagar,Delivery,Chinese,400,Dine-out,Electronic City
Srinidhi,No,No,2.9/5,1637,Basavanagudi,Cafe,North Indian,500,Desserts,Marathahalli
Kitchen Satkar,Yes,No,3.7/5,2562,Hebbal,"Pub, Bar","Sandwich, Fast Food",900,Cafes,Koramangala
Corner Chinese Hut,No,Yes,3.7/5,6018,Bellandur,Sweet Shop,"Seafood, Continental",2000,Delivery,Marathahalli
Palace Corner House,No,No,4.8/5,2469,Basavanagudi,Desserts,"Biryani, North Indian",900,Buffet,Indiranagar
Beijing Bites,No,Yes,4.0/5,917,Richmond Town,"Pub, Bar","Sandwich, Fast Food",400,Buffet,Koramangala
Restaurant Dominos,No,Yes,3.4/5,28,HSR Layout,Sweet Shop,"South Indian, Chinese",600,Cafes,HSR Layout
Barbeque Nation,No,No,3.7/5,4114,Church Street,Beverage Shop,"Italian, Pizza",450,Desserts,HSR Layout
Belgian Waffle,Yes,No,2.8/5,5445,Electronic City,Sweet Shop,"Continental, North Indian",,Dine-out,HSR Layout
Punjabi Tadka,No,No,4.7/5,1007,Majestic,"Casual Dining, Cafe",,1200,Delivery,Koramangala
New Taj Mahal Cafe,Yes,Yes,4.6/5,3178,Marathahalli,Quick Bites,"South Indian, Chinese",350,Cafes,HSR Layout
Amul,Yes,,2.7/5,619,HSR Layout,Casual Dining,,250,Desserts,Banashankari
Haveli,Yes,Yes,4.3/5,5524,Sarjapur Road,Beverage Shop,"Sandwich, Fast Food",2000,Cafes,JP Nagar
MTR,No,No,2.6/5,3503,Jayanagar,Beverage Shop,"South Indian, Chinese",700,Buffet,Indiranagar
Cafe Coffee Day,No,Yes,3.1/5,1925,MG Road,Beverage Shop,"Desserts, Bakery",600,Dine-out,Jayanagar
Corner Hotel Pai Vista,No,No,4.0/5,6431,Majestic,Bakery,Biryani,1200,Desserts,HSR Layout
Hotel Eat Street,No,Yes,2.9/5,6732,MG Road,Mess,"Italian, Pizza",350,Desserts,Koramangala
Meghana Foods,No,Yes,3.6/5,1646,Domlur,Bakery,"Mughlai, North Indian","2,500",Lunch,BTM Layout
Empire Restaurant,No,No,4.1/5,7789,Domlur  ,,"Bakery, Cafe",,Lunch,HSR Layout
McDonald's,No,No,3.4/5,7115,Yelahanka,Bakery,Biryani,200,Delivery,Jayanagar
Punjabi Tadka,No,No,2.7/5,4585,Bellandur  ,Fine Dining,South Indian,600,Delivery,BTM Layout
Biryani Brahmin Coffee Bar,Yes,No,4.3/5,6131,Church Street,Beverage Shop,Chinese,500,Lunch,Electronic City
Corner Eat Street,Yes,Yes,4.2/5,4406,Malleshwaram,"Casual Dining, Cafe","Biryani, North Indian",500,Desserts,Indiranagar
Hotel Pai Vista,No,No,3.7/5,7029,Domlur,Bar,"Cafe, Beverages",1000,Cafes,Banashankari
Biryani Zone,Yes,Yes,2.8/5,1300,Basavanagudi,Food Court,"Bakery, Cafe",,Dine-out,Jayanagar
Meghana Foods,Yes,No,2.8/5,1799,Rajajinagar,Quick Bites,"South Indian, Chinese",2000,Cafes,Marathahalli
House Vasudev Adiga,No,No,4.7/5,1439,Frazer Town,"Pub, Bar",North Indian,,Lunch,Banashankari
Dragon Palace,No,Yes,3.9/5,6012,JP Nagar,Casual Dining,"Biryani, North Indian",1500,Dine-out,Banashankari
Haveli,No,Yes,3.3/5,236,Basavanagudi,Desserts,"Continental, North Indian",450,Buffet,Whitefield
McDonald's,Yes,No,4.8/5,3344,Richmond Town,Fine Dining,"South Indian, North Indian",600,Dine-out,HSR Layout
Rolls Mania,Yes,No,4.3/5,938,Vijayanagar,Desserts,"Continental, North Indian","1,000",Desserts,Marathahalli
Srinidhi,No,No,4.2/5,686,Vijayanagar,Bakery,Fast Food,2000,Delivery,Indiranagar
Brahmin Coffee Bar,No,No,2.8/5,7980,Rajajinagar,Food Court,Biryani,800,Dine-out,Koramangala
McDonald's,Yes,,4.8/5,237,Richmond Town,"Casual Dining, Cafe","Continental, North Indian",,Desserts,Jayanagar
Belgian Waffle,Yes,,-,2682,Hebbal,"Casual Dining, Cafe","Continental, North Indian",700,Buffet,Electronic City
Shivaji Military Hotel,No,Yes,3.1/5,6965,Richmond Town  ,Cafe,"South Indian, Chinese","1,500",Lunch,Indiranagar
Beijing Bites,Yes,No,,165,Indiranagar,"Pub, Bar","South Indian, North Indian",250,Desserts,Banashankari
Barbeque Nation,Yes,No,3.9/5,1136,Hebbal,Cafe,,350,Desserts,JP Nagar
Satkar,Yes,No,3.7/5,661,Rajajinagar,,"South Indian, North Indian",1000,Cafes,Koramangala
Empire Restaurant,No,Yes,3.9/5,4648,Koramangala,Sweet Shop,"South Indian, Chinese",700,Desserts,JP Nagar
Rolls Mania,Yes,No,4.7/5,3147,Koramangala,Bar,"Bakery, Cafe",1200,Lunch,HSR Layout
Palace Punjab Grill,Yes,Yes,3.3/5,899,Yelahanka,Bar,"North Indian, Chinese",700,Drinks & nightlife,JP Nagar
Kamat Upachar,Yes,Yes,3.4/5,7431,Indiranagar,Quick Bites,"Seafood, Continental",1500,Dine-out,HSR Layout
Truffles,No,No,4.6/5,5291,Jayanagar,Bakery,"Sandwich, Fast Food",1200,Drinks & nightlife,Electronic City
Satkar,No,Yes,3.6/5,4403,Malleshwaram,Desserts,"Pizza, Fast Food",600,Buffet,Banashankari
Cafe Coffee Day,Yes,,4.9/5,3814,Frazer Town,Beverage Shop,"Sandwich, Fast Food",,Dine-out,Koramangala
Kitchen Koshy's,Yes,No,4.8/5,3364,Jayanagar,Cafe,Fast Food,800,Buffet,HSR Layout
Corner House,Yes,Yes,4.7/5,105,Richmond Town,Casual Dining,"South Indian, Chinese","2,000",Dine-out,Jayanagar
Corner Chai Point,No,,3.9/5,1607,Jayanagar,Food Court,"Cafe, Beverages",1200,Delivery,Indiranagar
Rolls Mania,Yes,Yes,2.9/5,7920,Malleshwaram,Mess,"South Indian, North Indian",250,Desserts,Whitefield
Faasos,No,Yes,4.8/5,3845,HSR Layout,Quick Bites,"Biryani, North Indian",500,Cafes,BTM Layout
Kitchen Toit Brewpub,Yes,Yes,3.2/5,6644,Rajajinagar,Cafe,Biryani,700,Delivery,Whitefield
Rolls Mania,Yes,No,4.8/5,7574,Marathahalli,"Casual Dining, Cafe","Ice Cream, Desserts",1000,Buffet,BTM Layout
Cafe Vidyarthi Bhavan,No,No,3.9/5,2428,Hebbal,Bakery,"South Indian, Chinese",500,Lunch,Whitefield
Kitchen Empire Restaurant,Yes,No,3.1/5,1804,Banashankari,Cafe,"Continental, North Indian",350,Cafes,JP Nagar
KFC,Yes,,3.8/5,6764,Majestic,Food Court,"Pizza, Fast Food",350,Dine-out,HSR Layout
KFC,Yes,No,4.4/5,2920,Majestic,Desserts,South Indian,1500,Delivery,BTM Layout
Meghana Foods,Yes,Yes,4.9/5,3714,RT Nagar,Beverage Shop,,800,Desserts,JP Nagar
India Gate,Yes,Yes,4.4/5,2109,Majestic,Fine Dining,North Indian,700,Dine-out,Indiranagar
Vidyarthi Bhavan,No,No,4.4/5,3056,Domlur,Delivery,,700,Desserts,Indiranagar
Rolls Mania,Yes,Yes,2.8/5,4179,Rajajinagar,Quick Bites,"Bakery, Cafe",1500,Cafes,JP Nagar
Dragon Palace,No,Yes,3.3/5,4882,JP Nagar,Bakery,Fast Food,700,Desserts,Banashankari
Truffles,Yes,Yes,2.5/5,6544,Richmond Town,Fine Dining,"Italian, Pizza",1000,Lunch,Indiranagar
Cafe Truffles,Yes,No,4.0/5,7351,Basavanagudi,Fine Dining,"Biryani, North Indian",500,Dine-out,Jayanagar
Meghana Foods,Yes,Yes,2.9/5,6731,Basavanagudi,Bakery,South Indian,900,Lunch,Koramangala
Donne Biryani,No,No,4.5/5,4089,Rajajinagar,,Chinese,,Desserts,JP Nagar
Cafe KFC,No,No,4.0/5,5791,Frazer Town,Mess,"Bakery, Cafe",500,Delivery,HSR Layout
Koshy's,Yes,No,4.1/5,5109,Basavanagudi,Quick Bites,South Indian,,Lunch,Marathahalli
Box8,Yes,No,3.3/5,2514,RT Nagar,Bakery,"South Indian, Chinese",150,Dine-out,Marathahalli
Pizza Hut,Yes,No,4.1/5,5043,MG Road,Delivery,"South Indian, Chinese",,Delivery,Koramangala
Haveli,No,No,4.7/5,341,Banashankari,Bar,North Indian,700,Lunch,BTM Layout
Biryani Biryani Zone,Yes,Yes,2.7/5,749,Banashankari,Food Court,"Seafood, Continental",1000,Lunch,Jayanagar
Corner Box8,Yes,Yes,4.0/5,3369,Rajajinagar,Fine Dining,Street Food,1500,Lunch,Electronic City
Kitchen Pizza Hut,No,Yes,3.5/5,317,Church Street,Cafe,"South Indian, Chinese",,Lunch,Whitefield
Dominos,No,No,3.5/5,6496,Frazer Town,Bar,"North Indian, Chinese",600,Lunch,HSR Layout
Corner House,No,No,2.8/5,1939,Hebbal,Quick Bites,"Italian, Pizza",150,Lunch,Whitefield
Corner Subway,Yes,Yes,4.6/5,4406,Malleshwaram,Food Court,Chinese,1500,Buffet,HSR Layout
Corner Biryani Zone,Yes,Yes,NEW,7268,RT Nagar,Mess,Street Food,200,Cafes,Koramangala
KFC,Yes,No,3.7/5,1947,RT Nagar,Bar,"Mughlai, North Indian",700,Dine-out,Koramangala
The Truffles,No,Yes,4.0/5,42,Basavanagudi,Bar,Fast Food,2000,Dine-out,BTM Layout
The New Taj Mahal Cafe,Yes,Yes,3.2/5,5442,Indiranagar,Fine Dining,"Cafe, Beverages",600,Dine-out,Koramangala
Kanti Sweets,No,No,3.5/5,5291,Whitefield,Fine Dining,Fast Food,"1,200",Cafes,Marathahalli
